factor_id,factor_name,factor_group,factor_type,current_status,official_weight,shadow_weight,max_allowed_weight,data_source,output_source,used_in_official_ranking,used_in_risk_gate,used_in_shadow_report,future_leak_risk,future_leak_reason,economic_rationale,mathematical_or_empirical_basis,historical_evidence_level,asof_backtest_ready,walk_forward_ready,live_forward_ready,live_forward_sample_count,pending_forward_sample_count,drawdown_relevance,benchmark_relevance,promotion_verdict,demotion_rule,notes
skew_score,Skew Score,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
high_beta_exposure,High Beta Exposure,PORTFOLIO_RISK,PORTFOLIO_RISK_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents concentration or exposure risks from overwhelming alpha selection.,Portfolio exposure and risk limit controls.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,TRUE,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk governance only; does not alter official candidate scoring in V18.47A.
portfolio_concentration_risk_score,Portfolio Concentration Risk Score,PORTFOLIO_RISK,PORTFOLIO_RISK_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents concentration or exposure risks from overwhelming alpha selection.,Portfolio exposure and risk limit controls.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,TRUE,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk governance only; does not alter official candidate scoring in V18.47A.
sector_exposure,Sector Exposure,PORTFOLIO_RISK,PORTFOLIO_RISK_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents concentration or exposure risks from overwhelming alpha selection.,Portfolio exposure and risk limit controls.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,TRUE,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk governance only; does not alter official candidate scoring in V18.47A.
single_name_position_limit,Single Name Position Limit,PORTFOLIO_RISK,PORTFOLIO_RISK_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents concentration or exposure risks from overwhelming alpha selection.,Portfolio exposure and risk limit controls.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,TRUE,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk governance only; does not alter official candidate scoring in V18.47A.
theme_exposure,Theme Exposure,PORTFOLIO_RISK,PORTFOLIO_RISK_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents concentration or exposure risks from overwhelming alpha selection.,Portfolio exposure and risk limit controls.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,TRUE,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk governance only; does not alter official candidate scoring in V18.47A.
maturity_10d,Maturity 10D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
maturity_20d,Maturity 20D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
maturity_5d,Maturity 5D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
maturity_60d,Maturity 60D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
max_drawdown_20d,Max Drawdown 20D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,TRUE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
max_drawdown_60d,Max Drawdown 60D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,TRUE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
return_10d,Return 10D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
return_20d,Return 20D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
return_5d,Return 5D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
return_60d,Return 60D,STRATEGY_VALIDATION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,FALSE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
bb_status,Bb Status,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,LOW,As-of shadow technical signal.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
exit_signal_forward_validation,Exit Signal Forward Validation,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,HIGH,Forward validation must not be used for same-day ranking.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
kdj_shadow_signal,Kdj Shadow Signal,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,LOW,As-of shadow technical signal.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
macd_shadow_signal,Macd Shadow Signal,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,LOW,As-of shadow technical signal.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
overheat_penalty,Overheat Penalty,TECHNICAL_TIMING,RISK_ADJUSTMENT,RISK_ADJUSTED_ONLY,CURRENT_SYSTEM_PENALTY_IF_PRESENT,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,TRUE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Reduces enthusiasm for extended or overheated entries.,Current overheat control field if available.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Risk adjustment only; no promotion or demotion in V18.47A.
pullback_status,Pullback Status,TECHNICAL_TIMING,OFFICIAL_LABEL,OFFICIAL_SMALL_WEIGHT,CURRENT_SYSTEM_WEIGHT_OR_LABEL,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Identifies whether the entry setup is pullback-sensitive.,Current technical timing label.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Classified as current official/small-weight only when present in current fields.
rsi_status,Rsi Status,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,LOW,As-of shadow technical signal.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
sell_timing_shadow_label,Sell Timing Shadow Label,TECHNICAL_TIMING,SHADOW_TECHNICAL_SIGNAL,SHADOW_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,TRUE,LOW,As-of shadow technical signal.,Research-only technical timing evidence.,Shadow technical report field or planned shadow field.,SHADOW_RESEARCH,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Shadow-only unless separately promoted by evidence outside V18.47A.
technical_status,Technical Status,TECHNICAL_TIMING,OFFICIAL_LABEL,OFFICIAL_SMALL_WEIGHT,CURRENT_SYSTEM_WEIGHT_OR_LABEL,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,TRUE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Summarizes technical condition for candidate interpretation.,Current technical timing label.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Small-weight or label-style technical input; no V18.47A weight change.
technical_timing_score,Technical Timing Score,TECHNICAL_TIMING,OFFICIAL_SCORE,OFFICIAL_ACTIVE,CURRENT_SYSTEM_WEIGHT,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,TRUE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Captures as-of technical setup quality.,Existing technical timing field in current chain.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Official current ranking input inventory; V18.47A records status only.
invalid_pseudo_ticker_filter,Invalid Pseudo Ticker Filter,UNIVERSE_COVERAGE,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
unavailable_ticker_quarantine,Unavailable Ticker Quarantine,UNIVERSE_COVERAGE,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
