ticker,company_name,primary_theme,secondary_theme,industry_group,exposure_tags,role_bucket,cyclicality_bucket,volatility_bucket,liquidity_bucket,manual_review_required,notes
MKSI,MKS Instruments Inc.,SEMICONDUCTOR_EQUIPMENT,Process control and photonics,Semiconductor Equipment,process_control;photonics,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ARGT,Global X MSCI Argentina ETF,OTHER,Argentina country ETF,ETF,etf;argentina;country_beta;macro_beta,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch. Non-single-stock instrument; exclude or separately bucket in single-stock factor backtests.
APG,APi Group Corporation,INDUSTRIAL,Safety services and engineering/construction services,Engineering & Construction,industrial_services;fire_safety;security;engineering_construction,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
QQQ,Invesco QQQ Trust,SOFTWARE,Nasdaq 100 ETF,ETF,mega_cap_growth;technology_etf,TACTICAL_BETA,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ASML,ASML Holding N.V.,SEMICONDUCTOR_EQUIPMENT,Lithography equipment,Semiconductor Equipment,euv;lithography;semi_capex,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BAC,Bank of America Corporation,FINTECH,Large bank,Banking,bank;rates;credit,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NI,NiSource Inc.,DEFENSIVE,Regulated utility,Gas Utilities,utility;gas,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LYFT,Lyft Inc.,TRANSPORTATION,Rideshare,Rideshare,mobility;rideshare,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CEG,Constellation Energy Corporation,POWER_INFRASTRUCTURE,Nuclear and power generation,Electric Utilities,nuclear;power;ai_power,CORE_GROWTH,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MPLX,MPLX LP,ENERGY,Midstream energy,Midstream Energy,pipelines;midstream,DEFENSIVE_HEDGE,COMMODITY_CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
IGV,iShares Expanded Tech-Software Sector ETF,SOFTWARE,Software ETF,ETF,software_etf,TACTICAL_BETA,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ENTG,Entegris Inc.,SEMICONDUCTOR_EQUIPMENT,Semiconductor materials and filtration,Semiconductor Materials,semi_materials;filtration,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XLK,Technology Select Sector SPDR Fund,SOFTWARE,Technology sector ETF,ETF,technology_etf,TACTICAL_BETA,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BKNG,Booking Holdings Inc.,INTERNET_PLATFORM,Online travel,Online Travel,ota;travel,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CRM,Salesforce Inc.,SOFTWARE,Enterprise CRM software,Application Software,crm;enterprise_saas,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PLTR,Palantir Technologies Inc.,SOFTWARE,AI analytics software,Application Software,ai_software;analytics;government,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LPLA,LPL Financial Holdings Inc.,FINTECH,Wealth management platform,Capital Markets,wealth_management;broker_dealer,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
IYW,iShares U.S. Technology ETF,SOFTWARE,Technology ETF,ETF,technology_etf,TACTICAL_BETA,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OC,Owens Corning,INDUSTRIAL,Building materials,Building Products,insulation;roofing;housing,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TSM,Taiwan Semiconductor Manufacturing Company Limited,SEMICONDUCTOR,Semiconductor foundry,Semiconductors,foundry;advanced_nodes,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AMAT,Applied Materials Inc.,SEMICONDUCTOR_EQUIPMENT,Wafer fabrication equipment,Semiconductor Equipment,wafer_fab;semi_capex,CORE_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
D,Dominion Energy Inc.,DEFENSIVE,Regulated utility,Electric Utilities,utility;power,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CARR,Carrier Global Corporation,INDUSTRIAL,HVAC and building systems,Building Products,hvac;buildings,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
KEYS,Keysight Technologies Inc.,SEMICONDUCTOR_EQUIPMENT,Electronic test and measurement,Test Equipment,test_measurement;electronics,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AMZN,Amazon.com Inc.,ECOMMERCE,E-commerce and cloud,Internet Retail,ecommerce;aws;cloud,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CMG,Chipotle Mexican Grill Inc.,CONSUMER,Restaurants,Restaurants,fast_casual;restaurants,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LRCX,Lam Research Corporation,SEMICONDUCTOR_EQUIPMENT,Wafer fabrication equipment,Semiconductor Equipment,etch;deposition;semi_capex,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MA,Mastercard Incorporated,FINTECH,Payments network,Payments,card_network;payments,CORE_GROWTH,SECULAR_GROWTH,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MOD,Modine Manufacturing Company,POWER_INFRASTRUCTURE,Thermal management,Thermal Management,datacenter_cooling;thermal,CYCLICAL_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BSX,Boston Scientific Corporation,HEALTHCARE,Medical devices,Medical Devices,medtech;cardiology,CORE_GROWTH,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AAPL,Apple Inc.,CONSUMER,Consumer devices and services,Consumer Electronics,iphone;services;hardware,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
KLAC,KLA Corporation,SEMICONDUCTOR_EQUIPMENT,Process control and inspection,Semiconductor Equipment,metrology;inspection;semi_capex,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SMH,VanEck Semiconductor ETF,SEMICONDUCTOR,Semiconductor ETF,ETF,semiconductor_etf,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MPWR,Monolithic Power Systems Inc.,SEMICONDUCTOR,Power semiconductors,Semiconductors,power_management;analog,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
JBL,Jabil Inc.,ELECTRONICS_SUPPLY_CHAIN,Electronics manufacturing services,Electronic Manufacturing Services,ems;hardware_supply_chain,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NTAP,NetApp Inc.,DATA_INFRASTRUCTURE,Enterprise storage,Data Storage,storage;hybrid_cloud,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FIX,Comfort Systems USA Inc.,POWER_INFRASTRUCTURE,Mechanical and electrical contracting,Construction Services,datacenter_power;hvac;construction,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NFLX,Netflix Inc.,INTERNET_PLATFORM,Streaming entertainment,Streaming Media,streaming;content,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CAMT,Camtek Ltd.,SEMICONDUCTOR_EQUIPMENT,Inspection and metrology,Semiconductor Equipment,inspection;metrology;advanced_packaging,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FLR,Fluor Corporation,INDUSTRIAL,Engineering and construction,Engineering Construction,infrastructure;construction,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NVDA,NVIDIA Corporation,AI_INFRASTRUCTURE,AI accelerators and platform,Semiconductors,gpu;ai_compute;cuda,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ANET,Arista Networks Inc.,DATA_INFRASTRUCTURE,Cloud networking,Networking Equipment,datacenter_networking;ai_networks,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AVGO,Broadcom Inc.,SEMICONDUCTOR,Networking semiconductors and software,Semiconductors,ai_networking;custom_silicon;software,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NRG,NRG Energy Inc.,POWER_INFRASTRUCTURE,Power generation and retail energy,Electric Utilities,power_generation;retail_energy,TACTICAL_BETA,COMMODITY_CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AEIS,Advanced Energy Industries Inc.,SEMICONDUCTOR_EQUIPMENT,Power and control systems,Semiconductor Equipment,process_power;semi_capex,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BN,Brookfield Corporation,FINTECH,Alternative assets,Asset Management,infrastructure_assets;alternatives,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CLH,Clean Harbors Inc.,INDUSTRIAL,Environmental services,Environmental Services,waste;industrial_services,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SOXX,iShares Semiconductor ETF,SEMICONDUCTOR,Semiconductor ETF,ETF,semiconductor_etf,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
GEV,GE Vernova Inc.,POWER_INFRASTRUCTURE,Power generation and grid equipment,Electrical Equipment,grid;gas_power;electrification,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CHPT,ChargePoint Holdings Inc.,POWER_INFRASTRUCTURE,EV charging,EV Infrastructure,ev_charging;clean_energy,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LYB,LyondellBasell Industries N.V.,INDUSTRIAL,Chemicals,Chemicals,chemicals;commodity,TACTICAL_BETA,COMMODITY_CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TER,Teradyne Inc.,SEMICONDUCTOR_EQUIPMENT,Automated test equipment,Semiconductor Equipment,ate;test_equipment,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FORM,FormFactor Inc.,SEMICONDUCTOR_EQUIPMENT,Probe cards and test interfaces,Semiconductor Equipment,probe_cards;test,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
APO,Apollo Global Management Inc.,FINTECH,Alternative asset management,Asset Management,private_credit;alternatives,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
KLIC,Kulicke and Soffa Industries Inc.,SEMICONDUCTOR_EQUIPMENT,Semiconductor assembly equipment,Semiconductor Equipment,assembly_equipment;advanced_packaging,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AA,Alcoa Corporation,INDUSTRIAL,Aluminum materials,Metals,aluminum;materials;commodity,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MCHP,Microchip Technology Inc.,SEMICONDUCTOR,Microcontrollers and analog chips,Semiconductors,mcu;analog;industrial,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ADBE,Adobe Inc.,SOFTWARE,Creative and digital media software,Application Software,creative_cloud;software,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BABA,Alibaba Group Holding Limited,ECOMMERCE,China e-commerce and cloud,Internet Retail,china_internet;ecommerce;cloud,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CRWV,CoreWeave Inc.,AI_INFRASTRUCTURE,AI cloud infrastructure,Cloud Infrastructure,gpu_cloud;ai_compute,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CLS,Celestica Inc.,AI_INFRASTRUCTURE,AI server and electronics manufacturing,Electronic Manufacturing Services,ai_servers;ems;datacenter,CYCLICAL_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
COHU,Cohu Inc.,SEMICONDUCTOR_EQUIPMENT,Semiconductor test equipment,Semiconductor Equipment,test_equipment;handlers,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
GOOGL,Alphabet Inc.,INTERNET_PLATFORM,"Search, ads, cloud and AI",Internet Services,search_ads;cloud;ai,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ORCL,Oracle Corporation,SOFTWARE,Database and cloud software,Software,database;cloud;enterprise,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SNOW,Snowflake Inc.,SOFTWARE,Cloud data platform,Infrastructure Software,data_cloud;analytics,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CHRW,C.H. Robinson Worldwide Inc.,TRANSPORTATION,Freight brokerage,Logistics,freight;logistics,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MELI,MercadoLibre Inc.,ECOMMERCE,Latin America e-commerce and fintech,Internet Retail,latam_ecommerce;payments,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AMKR,Amkor Technology Inc.,SEMICONDUCTOR,Outsourced semiconductor assembly and test,Semiconductor Services,osat;advanced_packaging,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NVT,nVent Electric plc,POWER_INFRASTRUCTURE,Electrical enclosures and systems,Electrical Equipment,electrification;datacenter_power,CYCLICAL_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ICHR,Ichor Holdings Ltd.,SEMICONDUCTOR_EQUIPMENT,Semiconductor fluid delivery subsystems,Semiconductor Equipment,wafer_fab_subsystems;semi_capex,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ADSK,Autodesk Inc.,SOFTWARE,Design software,Application Software,cad;bim;software,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ADMA,ADMA Biologics Inc.,HEALTHCARE,Biologics,Biotechnology,biologics;plasma,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
HPE,Hewlett Packard Enterprise Co.,AI_INFRASTRUCTURE,Servers and enterprise infrastructure,Technology Hardware,servers;networking;ai_infrastructure,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PSTG,Pure Storage Inc.,DATA_INFRASTRUCTURE,Enterprise storage,Data Storage,flash_storage;data_infrastructure,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TQQQ,ProShares UltraPro QQQ,SOFTWARE,Leveraged Nasdaq 100 ETF,ETF,leveraged_growth_etf,TACTICAL_BETA,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ABR,Arbor Realty Trust Inc.,OTHER,Mortgage REIT,Real Estate Finance,reit;mortgage_credit,NON_CORE,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CDNS,Cadence Design Systems Inc.,SOFTWARE,Electronic design automation,EDA Software,eda;chip_design,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CRDO,Credo Technology Group Holding Ltd.,AI_INFRASTRUCTURE,High-speed connectivity semiconductors,Semiconductors,ai_networking;serdes;connectivity,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NOW,ServiceNow Inc.,SOFTWARE,Workflow automation software,Application Software,workflow;enterprise_saas,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NUVB,Nuvation Bio Inc.,HEALTHCARE,Oncology biotechnology,Biotechnology,oncology;biotech,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VRT,Vertiv Holdings Co.,AI_INFRASTRUCTURE,Data center power and cooling,Electrical Equipment,datacenter_power;cooling;ai_infra,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WDC,Western Digital Corporation,DATA_INFRASTRUCTURE,Data storage,Data Storage,hdd;nand;storage,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
GLW,Corning Incorporated,ELECTRONICS_SUPPLY_CHAIN,Glass and optical materials,Electronic Components,glass;fiber;display,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AXON,Axon Enterprise Inc.,SOFTWARE,Public safety hardware and software,Public Safety Technology,public_safety;saas;devices,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
POWL,Powell Industries Inc.,POWER_INFRASTRUCTURE,Electrical power equipment,Electrical Equipment,switchgear;power_distribution,CYCLICAL_GROWTH,SECULAR_GROWTH,HIGH,MEDIUM,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LITE,Lumentum Holdings Inc.,DATA_INFRASTRUCTURE,Optical components,Electronic Components,optical_components;datacenter,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
GNRC,Generac Holdings Inc.,POWER_INFRASTRUCTURE,Backup power equipment,Electrical Equipment,backup_power;generators,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PWR,Quanta Services Inc.,POWER_INFRASTRUCTURE,Utility and infrastructure contracting,Construction Services,grid;utility_construction;energy_infra,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ACMR,ACM Research Inc.,SEMICONDUCTOR_EQUIPMENT,Wafer cleaning equipment,Semiconductor Equipment,wafer_fab;china_semicap,SPECULATIVE_SATELLITE,CYCLICAL,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MTZ,MasTec Inc.,POWER_INFRASTRUCTURE,Infrastructure construction,Construction Services,grid;fiber;energy_infrastructure,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NET,Cloudflare Inc.,CYBERSECURITY,Edge network and security,Infrastructure Software,edge_network;zero_trust;cdn,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NTRA,Natera Inc.,HEALTHCARE,Genetic testing,Diagnostics,genomics;diagnostics,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CIEN,Ciena Corporation,DATA_INFRASTRUCTURE,Optical networking,Networking Equipment,optical_networking;telecom,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
STX,Seagate Technology Holdings plc,DATA_INFRASTRUCTURE,Data storage,Data Storage,hdd;storage,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FN,Fabrinet,DATA_INFRASTRUCTURE,Optical and precision manufacturing,Electronic Manufacturing Services,optical_components;ems,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CRWD,CrowdStrike Holdings Inc.,CYBERSECURITY,Endpoint cybersecurity,Cybersecurity Software,endpoint_security;cloud_security,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CART,Maplebear Inc.,ECOMMERCE,Grocery delivery marketplace,Online Grocery,instacart;delivery;marketplace,SPECULATIVE_SATELLITE,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AGX,Argan Inc.,POWER_INFRASTRUCTURE,Power plant construction,Infrastructure Construction,power_generation;construction,CYCLICAL_GROWTH,CYCLICAL,HIGH,MEDIUM,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PANW,Palo Alto Networks Inc.,CYBERSECURITY,Network and cloud security,Cybersecurity Software,network_security;cloud_security,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AAL,American Airlines Group Inc.,TRANSPORTATION,Airlines,Airlines,airline;travel,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SMCI,Super Micro Computer Inc.,AI_INFRASTRUCTURE,AI servers,Technology Hardware,ai_servers;datacenter,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ALM,Almonty Industries Inc.,OTHER,Critical minerals / tungsten mining,Mining,critical_minerals;tungsten;mining;materials,TACTICAL_BETA,COMMODITY_CYCLICAL,EXTREME,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch. Consider adding MATERIALS or CRITICAL_MINERALS as a future primary_theme.
IREN,IREN Limited,CRYPTO_BETA,Bitcoin mining and AI data centers,Crypto Mining,bitcoin_mining;ai_datacenter,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
COHR,Coherent Corp.,DATA_INFRASTRUCTURE,Optical components,Electronic Components,optics;datacenter;photonics,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MDB,MongoDB Inc.,SOFTWARE,Database software,Infrastructure Software,database;developer_platform,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CSCO,Cisco Systems Inc.,DATA_INFRASTRUCTURE,Networking equipment,Networking Equipment,networking;enterprise,DEFENSIVE_HEDGE,CYCLICAL,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CORZ,Core Scientific Inc.,CRYPTO_BETA,Bitcoin mining and HPC hosting,Crypto Mining,bitcoin_mining;hpc_hosting,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SANM,Sanmina Corporation,ELECTRONICS_SUPPLY_CHAIN,Electronics manufacturing services,Electronic Manufacturing Services,ems;hardware_supply_chain,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
